timestamp,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
2016-02-08 15:09:29.433,-97.2445068359375,81.93280029296875,-571.03466796875,3.8748741149902344,7.339208126068115,-11.159672737121582,1.8069895505905151,0.0015025376342236996
2016-02-08 15:09:29.533,-182.7078857421875,117.17082214355469,-382.44049072265625,7.7286295890808105,-0.21976852416992188,-6.254913330078125,0.22630099952220917,-1.9276139937574044e-05
2016-02-08 15:09:29.633,-183.8897705078125,117.62969970703125,-380.1439514160156,7.718132972717285,-0.23621253669261932,-6.254024028778076,0.21331091225147247,-2.127885636582505e-05
2016-02-08 15:09:29.733,-184.3736572265625,117.89315032958984,-379.6574401855469,7.7069220542907715,-0.24322372674942017,-6.247594833374023,0.21946410834789276,-2.177953501814045e-05
2016-02-08 15:09:29.833,-184.705322265625,117.7740478515625,-379.8105163574219,7.697037220001221,-0.24276426434516907,-6.243008613586426,0.21809673309326172,-2.127885636582505e-05
2016-02-08 15:09:29.933,-185.1686553955078,117.54246520996094,-379.18060302734375,7.692956924438477,-0.24129405617713928,-6.2378153800964355,0.21946410834789276,-2.027749906119425e-05
2016-02-08 15:09:30.033,-185.71621704101562,117.70962524414062,-378.04803466796875,7.698708534240723,-0.23813989758491516,-6.224409103393555,0.21946410834789276,-2.127885636582505e-05
2016-02-08 15:09:30.133,-186.58450317382812,118.09099578857422,-377.5256042480469,7.678223133087158,-0.24637410044670105,-6.21139669418335,0.2208314836025238,-2.127885636582505e-05
2016-02-08 15:09:30.233,-187.29690551757812,118.64777374267578,-376.52301025390625,7.665652275085449,-0.2694706618785858,-6.191405296325684,0.22356624901294708,-2.027749906119425e-05
2016-02-08 15:09:30.333,-187.54425048828125,119.08087158203125,-375.8917541503906,7.665536880493164,-0.27934569120407104,-6.181743621826172,0.22219887375831604,-2.127885636582505e-05
2016-02-08 15:09:30.433,-187.45135498046875,118.99227142333984,-376.04150390625,7.672328948974609,-0.28332802653312683,-6.171458721160889,0.21672935783863068,-2.077817771350965e-05
2016-02-08 15:09:30.533,-187.36782836914062,118.90499877929688,-376.7357482910156,7.672996997833252,-0.2798738181591034,-6.165844440460205,0.21672935783863068,-2.027749906119425e-05
2016-02-08 15:09:30.633,-187.18858337402344,119.04248809814453,-377.8299865722656,7.669834613800049,-0.27273860573768616,-6.1657891273498535,0.21536198258399963,-2.027749906119425e-05
